voltage,current,power,temperature,soc,soh,cycles,capacity,rul,status
4.196,150.00,629.40,22.00,99.60,100.00,0.000123,2600.00,400.00,NORMAL
4.190,150.00,628.50,22.10,99.40,99.95,5.000000,2598.70,395.00,NORMAL
4.180,180.00,752.40,22.50,98.90,99.20,25.000000,2579.20,375.00,NORMAL
4.170,200.00,834.00,23.00,98.10,98.40,50.000000,2558.40,350.00,NORMAL
4.150,250.00,1037.50,24.00,96.80,97.00,100.000000,2522.00,300.00,NORMAL
4.120,300.00,1236.00,26.00,93.50,94.50,150.000000,2457.00,250.00,NORMAL
4.050,350.00,1417.50,29.00,88.00,90.00,200.000000,2340.00,200.00,NORMAL
3.950,400.00,1580.00,32.00,82.00,85.00,250.000000,2210.00,150.00,NORMAL
3.850,450.00,1732.50,35.00,75.00,82.00,300.000000,2132.00,100.00,NORMAL
3.700,500.00,1850.00,38.00,65.00,80.00,350.000000,2080.00,50.00,NORMAL
